
Ereignisdatum;Titel;Untertitel;Zusammenfassung;Detailtext
26.08.2024 22:33;Unterlagen nachgereicht;Bürgergeld;Ihr Antrag wurde erfolgreich am 26.08.2024 übermittelt und wird nun bearbeitet!;
26.08.2024 18:38;Unterlagen nachgereicht;Bürgergeld;Ihr Antrag wurde erfolgreich am 26.08.2024 übermittelt und wird nun bearbeitet! Bitte reichen Sie die noch fehlenden Unterlagen so schnell wie möglich nach.;
26.08.2024 17:15;Antrag auf Bürgergeld gesendet;Bürgergeld;Ihr Antrag wurde erfolgreich am 26.08.2024 übermittelt und wird nun bearbeitet! Bitte reichen Sie die noch fehlenden Unterlagen so schnell wie möglich nach.;
26.08.2024 16:16;Antrag auf Bürgergeld fortgesetzt;Bürgergeld;Sie haben Ihren Antrag auf Bürgergeld fortgesetzt.;
26.08.2024 16:16;Antrag auf Bürgergeld begonnen;Bürgergeld;Sie haben Ihren Antrag auf Bürgergeld erfolgreich am 26.08.2024 (Tag der Antragstellung) begonnen.;
26.07.2024 08:27;Bescheid abgerufen;Bescheide & Nachweise;Das Dokument Aufhebungsbescheid und Entgeltbescheinigung wurde in der Bescheidablage abgerufen.;
25.07.2024 22:15;Bescheid bereitgestellt;Bescheide & Nachweise;Das Dokument Aufhebungsbescheid und Entgeltbescheinigung wurde in der Bescheidablage bereitgestellt.;
22.07.2024 10:30;Online-Kommunikation aktiviert;Profil;Sie haben in die Online-Kommunikation eingewilligt.;"Ab sofort stellen wir Ihnen aktiv persönlichen Inhalte in ihr Profil ein. Dazu zählen Schriftstücke (Bescheide, Nachweise, Schreiben), Anträge und Postfachnachrichten im Leistungspostfach. Sie haben im Rahmen der Aktivierung folgendes erklärt und zur Kenntnis genommen: Ich bin damit einverstanden, dass die Agentur für Arbeit/gemeinsame Einrichtung meine E-Mail-Adresse nutzt, um mir eine Nachricht zuzusenden, wenn neue Inhalte für mich in meinem Profil bereitgestellt wurden. Ich wurde darüber informiert, dass die Nutzung der Funktion Online-Kommunikation ohne Angabe einer E-Mail-Adresse nicht möglich ist. Wenn ich meine Einwilligung nicht erteile, entstehen mir hierdurch keine Nachteile, da ich die Informationen postalisch, telefonisch oder persönlich erhalten kann. Des Weiteren wurde ich darüber informiert, dass ich meine Einwilligung in die Verarbeitung der E-Mail-Adresse durch Deaktivieren der Funktion Online-Kommunikation jederzeit ohne Angabe von Gründen mit Wirkung für die Zukunft widerrufen kann. Die Agentur für Arbeit/gemeinsame Einrichtung ist gesetzlich verpflichtet, den Zugriff auf die bereitgestellten Informationen abhängig von deren Inhalt unterschiedlich abzusichern. Besonders schützenswerte Daten können nicht mit einer Anmeldung mittels Benutzername/Passwort eingesehen werden. Dazu ist eine Anmeldung mit speziellen Ausweismitteln (z.B. ELSTER-Zertifikat oder Personalausweis mit Onlinefunktion nötig). Weitere Informationen finden Sie unter dem Konzept Vertrauensniveaus. Ich nehme zur Kenntnis, dass ich für den Online-Zugriff auf schützenswerte Daten spezielle Ausweismittel benötige. Ich habe grundsätzlich für deren Funktionsfähigkeit (gültiger Ausweis, PIN bekannt, usw.) zu sorgen, um innerhalb gültiger Fristen die bereitgestellten Informationen abrufen zu können. Wir empfehlen Ihnen generell ein BundID-Konto mit dem Vertrauensniveau hoch zu registrieren und mit diesem Konto zu verbinden. Weitere Informationen dazu finden Sie unter dem Konzept BundID-Konto. Ich verzichte auf die postalische Zustellung. Für noch nicht digitalisierte Verwaltungsprozesse erhalten Sie die Dokumente weiterhin per Post. "
22.07.2024 10:29;Benutzername geändert;Konto;Sie haben den Benutzernamen Ihres Kontos geändert.;Sie haben Ihren Benutzernamen von hwolf304 auf mail@heikowolf.info geändert.
22.07.2024 10:29;E-Mail-Adresse bestätigt;Konto;Sie haben Ihre E-Mail-Adresse erfolgreich bestätigt.;Folgende E-Mail-Adresse haben Sie bestätigt: mail@heikowolf.info . Die E-Mail-Adresse haben wir in Ihr Konto übernommen. Die neue E-Mail-Adresse wird ab sofort für die Kontobetreuung und den Mitteilungsservice-Online genutzt.
